"segmento";"nome";"id";"pregao";"site";"ticker";"ano";"ativo";"pl";"rec_liq";"lucro_bruto";"lucro_liq";"EBIT";"deprec_amort";"EBITDA";"margem_liq";"div_curto_prazo";"div_longo_prazo";"caixa";"div_liq";"div_total";"size";"leverage";"EBIT.rate";"ROA";"ROE";"GAO";"main.sector";"sector.activity";"sub.sector";"listagem";"ibovespa"
"Bancos";"BRB BANCO DE BRASILIA SA";14206;"BRB BANCO";"www.brb.com.br";"BSLI3;BSLI4";2015;13746849;10754803;2742848;1249199;0;148029;30545;178574;0;0;0;0;0;0;16,4363201921785;0;0,05;0,01;0;0,12;"Financeiro";"Bancos";"Intermediários Financeiros";"Tradicional";FALSE
"Bancos";"BRB BANCO DE BRASILIA SA";14206;"BRB BANCO";"www.brb.com.br";"BSLI3;BSLI4";2016;13667381;10641097;2929559;1333195;0;195853;43025;238878;0;0;0;0;0;0;16,4305226029272;0;0,07;0,02;0;0,15;"Financeiro";"Bancos";"Intermediários Financeiros";"Tradicional";FALSE
"Bancos";"BRB BANCO DE BRASILIA SA";14206;"BRB BANCO";"www.brb.com.br";"BSLI3;BSLI4";2017;14183834;0;2748523;1600992;0;343029;50110;393139;0;0;0;0;0;0;16,46761342334;0;0,12;0,03;NA;0,21;"Financeiro";"Bancos";"Intermediários Financeiros";"Tradicional";FALSE
"Bancos";"BRB BANCO DE BRASILIA SA";14206;"BRB BANCO";"www.brb.com.br";"BSLI3;BSLI4";2018;15308862;11818051;3012804;2217924;0;568671;62933;631604;0;0;0;0;0;0;16,5439424343683;0;0,19;0,04;0;0,26;"Financeiro";"Bancos";"Intermediários Financeiros";"Tradicional";FALSE
"Bancos";"BRB BANCO DE BRASILIA SA";14206;"BRB BANCO";"www.brb.com.br";"BSLI3;BSLI4";2019;17058749;12949947;3101881;2293250;0;580210;83307;663517;0;0;0;0;0;0;16,6521737679135;0;0,19;0,04;0;0,25;"Financeiro";"Bancos";"Intermediários Financeiros";"Tradicional";FALSE
"Bancos";"BRB BANCO DE BRASILIA SA";14206;"BRB BANCO";"www.brb.com.br";"BSLI3;BSLI4";2020;25496999;21226204;3373121;2565285;423379;617327;0;617327;12,55;0;0;2973131;-4,82;0;17,0540713169286;0;0,18;0,02;0,02;0,24;"Financeiro";"Bancos";"Intermediários Financeiros";"Tradicional";FALSE
"Bancos";"ITAÚ UNIBANCO HOLDING S.A.";19348;"ITAUUNIBANCO";"www.itau-unibanco.com.br/relacoes-com-investidores";"ITUB3;ITUB4";2012;957154000;679706000;101582000;53515000;0;17416000;2190000;19606000;0;0;11069000;0;0,56;11069000;20,6794748560113;0,01;0,17;0,02;0;0,33;"Financeiro";"Bancos";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAÚ UNIBANCO HOLDING S.A.";19348;"ITAUUNIBANCO";"www.itau-unibanco.com.br/relacoes-com-investidores";"ITUB3;ITUB4";2013;1027297000;724496000;94797000;48436000;0;20865000;2333000;23198000;0;0;11405000;0;0,49;11405000;20,7501969179058;0,01;0,22;0,02;0;0,43;"Financeiro";"Bancos";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAÚ UNIBANCO HOLDING S.A.";19348;"ITAUUNIBANCO";"www.itau-unibanco.com.br/relacoes-com-investidores";"ITUB3;ITUB4";2014;1127203000;779284000;129035000;56058000;0;28808000;2544000;31352000;0;0;17350000;0;0,55;17350000;20,8430051800072;0,02;0,22;0,03;0;0,51;"Financeiro";"Bancos";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAÚ UNIBANCO HOLDING S.A.";19348;"ITAUUNIBANCO";"www.itau-unibanco.com.br/relacoes-com-investidores";"ITUB3;ITUB4";2015;1276415000;880057000;129574000;54510000;0;18265000;2828000;21093000;0;0;31071000;0;1,47;31071000;20,9673212041013;0,02;0,14;0,02;0;0,34;"Financeiro";"Bancos";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAÚ UNIBANCO HOLDING S.A.";19348;"ITAUUNIBANCO";"www.itau-unibanco.com.br/relacoes-com-investidores";"ITUB3;ITUB4";2016;1353241000;910300000;174319000;79193000;0;38192000;3233000;41425000;0;0;24698000;0;0,6;24698000;21,0257682929634;0,02;0,22;0,03;0;0,48;"Financeiro";"Bancos";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAÚ UNIBANCO HOLDING S.A.";19348;"ITAUUNIBANCO";"www.itau-unibanco.com.br/relacoes-com-investidores";"ITUB3;ITUB4";2017;1434969000;943670000;147615000;69290000;0;32211000;3169000;35380000;0;0;26746000;0;0,76;26746000;21,0844090831372;0,02;0,22;0,02;0;0,46;"Financeiro";"Bancos";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAÚ UNIBANCO HOLDING S.A.";19348;"ITAUUNIBANCO";"www.itau-unibanco.com.br/relacoes-com-investidores";"ITUB3;ITUB4";2018;1552797000;1119734000;131317000;60705000;0;30608000;3567000;34175000;0;0;27519000;0;0,81;27519000;21,1633236578234;0,02;0,23;0,02;0;0,5;"Financeiro";"Bancos";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAÚ UNIBANCO HOLDING S.A.";19348;"ITAUUNIBANCO";"www.itau-unibanco.com.br/relacoes-com-investidores";"ITUB3;ITUB4";2019;1637481000;1159830000;193037000;117079000;0;31243000;3561000;34804000;0;0;47828000;0;1,37;47828000;21,2164249223529;0,03;0,16;0,02;0;0,27;"Financeiro";"Bancos";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAÚ UNIBANCO HOLDING S.A.";19348;"ITAUUNIBANCO";"www.itau-unibanco.com.br/relacoes-com-investidores";"ITUB3;ITUB4";2020;2019251000;1495641000;173757000;100199000;0;5230000;3729000;8959000;0;0;79505000;0;8,87;79505000;21,4259924875199;0,04;0,03;0;0;0,05;"Financeiro";"Bancos";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAUSA S.A.";7617;"ITAUSA";"www.itausa.com.br";"ITSA3;ITSA4";2012;364017000;32709000;5653000;1616000;5040000;0;1470000;1470000;89,16;0;0;123049000;-83,71;0;19,7127111278072;0;0;0;0,15;0;"Financeiro";"Emp. Adm. Part. - Sem Setor Principal";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAUSA S.A.";7617;"ITAUSA";"www.itausa.com.br";"ITSA3;ITSA4";2013;41929000;35974000;5289000;1560000;6011000;6484000;625000;7109000;113,65;909000;1855000;1625000;0,16;2764000;17,5514882695899;0,07;1,23;0,17;0,17;4,16;"Financeiro";"Emp. Adm. Part. - Sem Setor Principal";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAUSA S.A.";7617;"ITAUSA";"www.itausa.com.br";"ITSA3;ITSA4";2014;48594000;42239000;5021000;1254000;8161000;8323000;651000;8974000;162,54;1120000;1905000;2187000;0,09;3025000;17,6990106244592;0,06;1,66;0,18;0,19;6,64;"Financeiro";"Emp. Adm. Part. - Sem Setor Principal";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAUSA S.A.";7617;"ITAUSA";"www.itausa.com.br";"ITSA3;ITSA4";2015;54830000;47870000;4885000;1154000;8994000;9068000;631000;9699000;184,11;675000;2423000;2456000;0,07;3098000;17,8197480473802;0,06;1,86;0,18;0,19;7,86;"Financeiro";"Emp. Adm. Part. - Sem Setor Principal";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAUSA S.A.";7617;"ITAUSA";"www.itausa.com.br";"ITSA3;ITSA4";2016;59020000;50679000;4687000;1046000;8216000;8229000;645000;8874000;175,29;780000;2932000;2744000;0,11;3712000;17,8933869274791;0,06;1,76;0,15;0,16;7,87;"Financeiro";"Emp. Adm. Part. - Sem Setor Principal";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAUSA S.A.";7617;"ITAUSA";"www.itausa.com.br";"ITSA3;ITSA4";2017;65580000;56222000;4969000;1295000;8522000;8590000;592000;9182000;171,5;1058000;3698000;2657000;0,23;4756000;17,9987813293808;0,07;1,73;0,14;0,15;6,63;"Financeiro";"Emp. Adm. Part. - Sem Setor Principal";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAUSA S.A.";7617;"ITAUSA";"www.itausa.com.br";"ITSA3;ITSA4";2018;66206000;58079000;5375000;1364000;9710000;9927000;825000;10752000;180,65;713000;3358000;3451000;0,06;4071000;18,0082816512413;0,06;1,85;0,16;0,17;7,28;"Financeiro";"Emp. Adm. Part. - Sem Setor Principal";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAUSA S.A.";7617;"ITAUSA";"www.itausa.com.br";"ITSA3;ITSA4";2019;67476000;58357000;5008000;1290000;10569000;10994000;726000;11720000;211,04;878000;3277000;3582000;0,05;4155000;18,0272825370623;0,06;2,2;0,17;0,18;8,52;"Financeiro";"Emp. Adm. Part. - Sem Setor Principal";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bancos";"ITAUSA S.A.";7617;"ITAUSA";"www.itausa.com.br";"ITSA3;ITSA4";2020;72600000;60633000;5880000;1852000;7344000;7724000;627000;8351000;124,9;576000;5125000;4360000;0,16;5701000;18,100475479795;0,08;1,31;0,12;0,12;4,17;"Financeiro";"Emp. Adm. Part. - Sem Setor Principal";"Intermediários Financeiros";"Corporate Governance - Level 1";TRUE
"Bicicletas";"BICICLETAS MONARK SA";1694;"BIC MONARK";"www.monark.com.br";"BMKS3";2012;231087;194952;35460;11587;10627;1260;345;1605;29,97;0;0;198060;-123,4;0;12,3505495419758;0;0,04;0,01;0,05;0,11;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Bicicletas";"BICICLETAS MONARK SA";1694;"BIC MONARK";"www.monark.com.br";"BMKS3";2013;209590;185337;34557;12207;7890;796;303;1099;22,83;0;0;178836;-162,73;0;12,2529085203672;0;0,02;0,01;0,04;0,07;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Bicicletas";"BICICLETAS MONARK SA";1694;"BIC MONARK";"www.monark.com.br";"BMKS3";2014;205123;182143;32648;11815;11686;467;266;733;35,79;0;0;157796;-215,27;0;12,2313650781925;0;0,01;0;0,06;0,04;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Bicicletas";"BICICLETAS MONARK SA";1694;"BIC MONARK";"www.monark.com.br";"BMKS3";2015;196964;177329;20613;7086;10906;0;42;42;52,91;0;0;155523;-3702,93;0;12,1907762499042;0;0;0;0,06;0;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Bicicletas";"BICICLETAS MONARK SA";1694;"BIC MONARK";"www.monark.com.br";"BMKS3";2016;216515;188195;19405;6233;16050;0;248;248;82,71;0;0;166071;-669,64;0;12,2854151080893;0;0;0;0,09;0;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Bicicletas";"BICICLETAS MONARK SA";1694;"BIC MONARK";"www.monark.com.br";"BMKS3";2017;202655;182536;16356;5587;8134;0;181;181;49,73;0;0;158834;-877,54;0;12,2192603048337;0;0;0;0,04;0;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Bicicletas";"BICICLETAS MONARK SA";1694;"BIC MONARK";"www.monark.com.br";"BMKS3";2018;203106;184474;13880;4006;3706;0;118;118;26,7;0;0;150534;-1275,71;0;12,2214832892296;0;0;0;0,02;0;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Bicicletas";"BICICLETAS MONARK SA";1694;"BIC MONARK";"www.monark.com.br";"BMKS3";2019;220646;190312;15518;4137;2686;0;2434;2434;17,31;2283;5689;148804;-57,86;7972;12,304314886276;0,04;0;0,01;0,01;0;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Bicicletas";"BICICLETAS MONARK SA";1694;"BIC MONARK";"www.monark.com.br";"BMKS3";2020;216484;190456;21790;6813;3482;1391;1930;3321;15,98;1865;2686;153406;-44,82;4551;12,2852719206914;0,02;0,06;0,02;0,02;0,2;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Brinquedos e Jogos";"MANUFATURA DE  BRINQUEDOS ESTRELA SA";8427;"ESTRELA";"www.estrela.com.br";"ESTR3;ESTR4";2012;164477;0;120521;49789;0;79;1435;1514;0;41879;5849;12116;23,52;47728;12,010526021783;0,29;0;0,01;NA;0;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Brinquedos e Jogos";"MANUFATURA DE  BRINQUEDOS ESTRELA SA";8427;"ESTRELA";"www.estrela.com.br";"ESTR3;ESTR4";2013;186980;0;130984;56373;0;0;3721;3721;0;62561;903;760;16,85;63464;12,1387569382453;0,34;0;0,02;NA;0;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Brinquedos e Jogos";"MANUFATURA DE  BRINQUEDOS ESTRELA SA";8427;"ESTRELA";"www.estrela.com.br";"ESTR3;ESTR4";2014;230639;0;210814;104290;0;14337;0;14337;0;59687;12185;246;5;71872;12,3486089965415;0,31;0,07;0,06;NA;0,14;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Brinquedos e Jogos";"MANUFATURA DE  BRINQUEDOS ESTRELA SA";8427;"ESTRELA";"www.estrela.com.br";"ESTR3;ESTR4";2015;224356;0;169010;71642;0;0;2808;2808;0;61998;8909;1510;24,71;70907;12,3209893549734;0,32;0;0,01;NA;0;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Brinquedos e Jogos";"MANUFATURA DE  BRINQUEDOS ESTRELA SA";8427;"ESTRELA";"www.estrela.com.br";"ESTR3;ESTR4";2016;227687;0;140950;69810;0;0;3029;3029;0;59251;2411;2497;19,53;61662;12,3357271577562;0,27;0;0,01;NA;0;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Brinquedos e Jogos";"MANUFATURA DE  BRINQUEDOS ESTRELA SA";8427;"ESTRELA";"www.estrela.com.br";"ESTR3;ESTR4";2017;225237;0;142743;79308;0;0;668;668;0;54905;1470;2938;80;56375;12,3249084601536;0,25;0;0;NA;0;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Brinquedos e Jogos";"MANUFATURA DE  BRINQUEDOS ESTRELA SA";8427;"ESTRELA";"www.estrela.com.br";"ESTR3;ESTR4";2018;208833;0;135269;63527;0;17707;3588;21295;0;58304;491;335;2,75;58795;12,2492901684797;0,28;0,13;0,1;NA;0,28;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Brinquedos e Jogos";"MANUFATURA DE  BRINQUEDOS ESTRELA SA";8427;"ESTRELA";"www.estrela.com.br";"ESTR3;ESTR4";2019;205960;0;112155;56314;0;0;3886;3886;0;50592;0;2339;12,42;50592;12,2354372541601;0,25;0;0,02;NA;0;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Brinquedos e Jogos";"MANUFATURA DE  BRINQUEDOS ESTRELA SA";8427;"ESTRELA";"www.estrela.com.br";"ESTR3;ESTR4";2020;244646;0;138561;70368;0;25155;3180;28335;0;67107;0;7011;2,12;67107;12,407567546696;0,27;0,18;0,12;NA;0,36;"Consumo Cíclico";"Brinquedos e Lazer";"Viagens e Lazer";"Tradicional";FALSE
"Calçados";"ALPARGATAS SA";10456;"ALPARGATAS";"www.alpargatas.com.br";"ALPA3;ALPA4";2012;2740729;1660898;3006982;1272806;280536;291759;60198;351957;9,33;188406;110347;616908;-0,9;298753;14,8237345013712;0,11;0,1;0,13;0,17;0,23;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Corporate Governance - Level 1";TRUE
"Calçados";"ALPARGATAS SA";10456;"ALPARGATAS";"www.alpargatas.com.br";"ALPA3;ALPA4";2013;3361984;1834451;3425959;1420569;309763;325399;66652;392051;9,04;275311;281523;814400;-0,66;556834;15,0280418338674;0,17;0,09;0,12;0,17;0,23;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Corporate Governance - Level 1";TRUE
"Calçados";"ALPARGATAS SA";10456;"ALPARGATAS";"www.alpargatas.com.br";"ALPA3;ALPA4";2014;3646566;2100904;3711162;1498245;286528;325019;77725;402744;7,72;295931;218072;485622;0,07;514003;15,1092964607901;0,14;0,09;0,11;0,14;0,22;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Corporate Governance - Level 1";TRUE
"Calçados";"ALPARGATAS SA";10456;"ALPARGATAS";"www.alpargatas.com.br";"ALPA3;ALPA4";2015;3763470;1931236;4126254;1759426;263248;368805;101611;470416;6,38;495243;177449;488193;0,39;672692;15,1408519621216;0,18;0,09;0,12;0,14;0,21;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Corporate Governance - Level 1";TRUE
"Calçados";"ALPARGATAS SA";10456;"ALPARGATAS";"www.alpargatas.com.br";"ALPA3;ALPA4";2016;3782052;2065749;4054404;1800284;358473;472343;103621;575964;8,84;209908;382766;502118;0,16;592674;15,145777277445;0,16;0,12;0,15;0,17;0,26;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Corporate Governance - Level 1";TRUE
"Calçados";"ALPARGATAS SA";10456;"ALPARGATAS";"www.alpargatas.com.br";"ALPA3;ALPA4";2017;3853454;2264389;3721863;1639602;350562;379417;106822;486239;9,42;408941;324702;706353;0,06;733643;15,164480446929;0,19;0,1;0,13;0,15;0,23;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Corporate Governance - Level 1";TRUE
"Calçados";"ALPARGATAS SA";10456;"ALPARGATAS";"www.alpargatas.com.br";"ALPA3;ALPA4";2018;3980105;2469838;3904509;1712836;324041;458076;106598;564674;8,3;382258;230676;540938;0,13;612934;15,1968187588222;0,15;0,12;0,14;0,13;0,27;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Corporate Governance - Level 1";TRUE
"Calçados";"ALPARGATAS SA";10456;"ALPARGATAS";"www.alpargatas.com.br";"ALPA3;ALPA4";2019;4522040;2734592;3712184;1866932;259335;429050;159253;588303;6,99;176925;101825;566263;-0,49;278750;15,3244737774244;0,06;0,12;0,13;0,09;0,23;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Corporate Governance - Level 1";TRUE
"Calçados";"ALPARGATAS SA";10456;"ALPARGATAS";"www.alpargatas.com.br";"ALPA3;ALPA4";2020;4814586;3018552;3364278;1760792;126886;274285;161607;435892;3,77;139989;103874;693003;-1,03;243863;15,3871606182093;0,05;0,08;0,09;0,04;0,16;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Corporate Governance - Level 1";TRUE
"Calçados";"CAMBUCI SA";2100;"CAMBUCI";"www.cambuci.com.br/investidores";"CAMB3";2012;260991;29566;274172;112676;0;7210;6505;13715;0;79387;78599;23276;9,82;157986;12,4722412029517;0,61;0,03;0,05;0;0,06;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Tradicional";FALSE
"Calçados";"CAMBUCI SA";2100;"CAMBUCI";"www.cambuci.com.br/investidores";"CAMB3";2013;269370;17785;283287;115632;331;27796;9753;37549;0,12;91064;72608;23370;3,74;163672;12,503841178183;0,61;0,1;0,14;0,02;0,24;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Tradicional";FALSE
"Calçados";"CAMBUCI SA";2100;"CAMBUCI";"www.cambuci.com.br/investidores";"CAMB3";2014;271780;30735;283864;123336;13986;45528;8471;53999;4,93;109569;42682;18258;2,48;152251;12,5127481944745;0,56;0,16;0,2;0,46;0,37;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Tradicional";FALSE
"Calçados";"CAMBUCI SA";2100;"CAMBUCI";"www.cambuci.com.br/investidores";"CAMB3";2015;267560;0;285919;115538;0;34654;10954;45608;0;137598;16681;10858;3,14;154279;12,4970991192323;0,58;0,12;0,17;NA;0,3;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Tradicional";FALSE
"Calçados";"CAMBUCI SA";2100;"CAMBUCI";"www.cambuci.com.br/investidores";"CAMB3";2016;224018;0;276389;105114;0;11352;5423;16775;0;128721;7978;10761;7,51;136699;12,3194816847516;0,61;0,04;0,07;NA;0,11;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Tradicional";FALSE
"Calçados";"CAMBUCI SA";2100;"CAMBUCI";"www.cambuci.com.br/investidores";"CAMB3";2017;221653;6719;259464;102614;44774;19946;6387;26333;17,26;99248;6274;12646;3,53;105522;12,3088683749338;0,48;0,08;0,12;6,66;0,19;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Tradicional";FALSE
"Calçados";"CAMBUCI SA";2100;"CAMBUCI";"www.cambuci.com.br/investidores";"CAMB3";2018;214940;24102;247489;101005;16650;28937;7016;35953;6,73;50687;14076;11562;1,48;64763;12,2781141983951;0,3;0,12;0,17;0,69;0,29;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Tradicional";FALSE
"Calçados";"CAMBUCI SA";2100;"CAMBUCI";"www.cambuci.com.br/investidores";"CAMB3";2019;243235;73974;219836;96855;20212;37944;7154;45098;9,19;49490;29643;9054;1,55;79133;12,4017833331931;0,33;0,17;0,19;0,27;0,39;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Tradicional";FALSE
"Calçados";"CAMBUCI SA";2100;"CAMBUCI";"www.cambuci.com.br/investidores";"CAMB3";2020;281584;97005;156499;70427;22027;15858;5933;21791;14,07;39134;32493;6288;3;71627;12,54818608347;0,25;0,1;0,08;0,23;0,23;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Tradicional";FALSE
"Calçados";"GRENDENE SA";19615;"GRENDENE";"www.grendene.com.br";"GRND3";2012;2291452;1953562;1882326;882158;429891;362813;31725;394538;22,84;123583;14380;479521;-0,87;137963;14,644696235734;0,06;0,19;0,17;0,22;0,41;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Novo Mercado";FALSE
"Calçados";"GRENDENE SA";19615;"GRENDENE";"www.grendene.com.br";"GRND3";2013;2369342;2067960;2187264;993702;434005;399233;36648;435881;19,84;101909;15827;432025;-0,72;117736;14,6781228374322;0,05;0,18;0,18;0,21;0,4;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Novo Mercado";FALSE
"Calçados";"GRENDENE SA";19615;"GRENDENE";"www.grendene.com.br";"GRND3";2014;2682013;2327934;2233298;1025919;485259;389413;47461;436874;21,73;99567;71790;660796;-1,12;171357;14,802078189941;0,06;0,17;0,16;0,21;0,38;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Novo Mercado";FALSE
"Calçados";"GRENDENE SA";19615;"GRENDENE";"www.grendene.com.br";"GRND3";2015;3045642;2616760;2202796;1067883;539311;400732;53652;454384;24,48;141652;71173;618157;-0,89;212825;14,9292222743415;0,07;0,18;0,15;0,21;0,38;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Novo Mercado";FALSE
"Calçados";"GRENDENE SA";19615;"GRENDENE";"www.grendene.com.br";"GRND3";2016;3253820;2922070;2045115;996527;633955;399594;57878;457472;31;70734;54638;1308733;-2,59;125372;14,9953402486976;0,04;0,2;0,14;0,22;0,4;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Novo Mercado";FALSE
"Calçados";"GRENDENE SA";19615;"GRENDENE";"www.grendene.com.br";"GRND3";2017;3576008;3217609;2251972;1100756;660903;465590;60639;526229;29,35;89666;33961;1567596;-2,74;123627;15,0897576524095;0,03;0,21;0,15;0,21;0,42;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Novo Mercado";FALSE
"Calçados";"GRENDENE SA";19615;"GRENDENE";"www.grendene.com.br";"GRND3";2018;3860756;3465042;2333452;1106124;585530;456963;65761;522724;25,09;126313;26614;1565476;-2,7;152927;15,1663735771862;0,04;0,2;0,14;0,17;0,41;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Novo Mercado";FALSE
"Calçados";"GRENDENE SA";19615;"GRENDENE";"www.grendene.com.br";"GRND3";2019;4064447;3682436;2071034;944523;494954;353528;77222;430750;23,9;92878;82287;1332410;-2,69;175165;15,2177882523495;0,04;0,17;0,11;0,13;0,37;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Novo Mercado";FALSE
"Calçados";"GRENDENE SA";19615;"GRENDENE";"www.grendene.com.br";"GRND3";2020;4675706;4230168;1896785;874455;405206;301199;88049;389248;21,36;20943;79834;1502868;-3,6;100777;15,3578907253459;0,02;0,16;0,08;0,1;0,34;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Novo Mercado";FALSE
"Calçados";"VULCABRAS S.A.";11762;"VULCABRAS";"www.vulcabrasazaleiari.com.br";"VULC3";2012;1375440;5649;1483125;338653;0;0;110281;110281;0;457614;577986;68017;8,77;1035600;14,1342842378937;0,75;0;0,08;0;0;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Novo Mercado";FALSE
"Calçados";"VULCABRAS S.A.";11762;"VULCABRAS";"www.vulcabrasazaleiari.com.br";"VULC3";2013;1267560;133474;1326837;276134;0;0;81463;81463;0;375169;445487;56696;9,38;820656;14,0526043506052;0,65;0;0,06;0;0;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Novo Mercado";FALSE
"Calçados";"VULCABRAS S.A.";11762;"VULCABRAS";"www.vulcabrasazaleiari.com.br";"VULC3";2014;1271514;61009;1267127;343880;0;37908;76194;114102;0;334125;385775;40827;5,95;719900;14,0557188744011;0,57;0,03;0,09;0;0,11;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Novo Mercado";FALSE
"Calçados";"VULCABRAS S.A.";11762;"VULCABRAS";"www.vulcabrasazaleiari.com.br";"VULC3";2015;1237154;35754;965875;287446;0;37956;70347;108303;0;587442;88017;33993;5,92;675459;14,0283241383711;0,55;0,04;0,09;0;0,13;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Novo Mercado";FALSE
"Calçados";"VULCABRAS S.A.";11762;"VULCABRAS";"www.vulcabrasazaleiari.com.br";"VULC3";2016;1078668;51863;1134220;392554;35695;118910;67645;186555;3,15;275116;264152;23501;2,76;539268;13,8912375045856;0,5;0,1;0,17;0,69;0,3;"Consumo Cíclico";"Têxtil e Vestuário";"Tecidos. Vestuário e Calçados";"Novo Mercado";FALSE
